datetime,front_type,x,y
2020-02-01 12:00,sfc_cold_front,139.5095368,-623.1923602
2020-02-01 12:00,sfc_cold_front,117.7111717,-649.3860846
2020-02-01 12:00,sfc_cold_front,93.73297003,-675.579809
2020-02-01 12:00,sfc_cold_front,67.57493188,-695.2251023
2020-02-01 12:00,sfc_cold_front,41.41689373,-714.8703956
2020-02-01 12:00,sfc_cold_front,13.07901907,-730.1500682
2020-02-01 12:00,sfc_cold_front,-21.79836512,-743.2469304
2020-02-01 12:00,sfc_cold_front,-61.03542234,-760.7094134
2020-02-01 12:00,sfc_cold_front,-95.91280654,-769.4406548
2020-02-01 12:00,sfc_cold_front,-130.7901907,-778.1718963
2020-02-01 12:00,sfc_cold_front,-170.027248,-784.7203274
2020-02-01 12:00,sfc_cold_front,-204.9046322,-789.0859482
2020-02-01 12:00,sfc_cold_front,-241.9618529,-789.0859482
2020-02-01 12:00,sfc_cold_front,-274.6594005,-786.9031378
2020-02-01 12:00,sfc_cold_front,-309.5367847,-782.5375171
2020-02-01 12:00,sfc_cold_front,-342.2343324,-780.3547067
2020-02-01 12:00,sfc_cold_front,-379.2915531,-773.8062756
2020-02-01 12:00,sfc_cold_front,-425.0681199,-765.0750341
2020-02-01 12:00,sfc_cold_front,-468.6648501,-751.9781719
2020-02-01 12:00,sfc_cold_front,-531.880109,-732.3328786
2020-02-01 12:00,sfc_cold_front,-597.2752044,-701.7735334
2020-02-01 12:00,sfc_cold_front,-653.9509537,-675.579809
2020-02-01 12:00,sfc_cold_front,-708.4468665,-640.6548431
2020-02-01 12:00,sfc_cold_front,-762.9427793,-621.0095498
2020-02-01 12:00,sfc_cold_front,-795.640327,-592.633015
2020-01-31 18:00,sfc_warm_front,41.36191677,20
2020-01-31 18:00,sfc_warm_front,71.62673392,34.14141414
2020-01-31 18:00,sfc_warm_front,105.92686,44.24242424
2020-01-31 18:00,sfc_warm_front,144.2622951,54.34343434
2020-01-31 18:00,sfc_warm_front,182.5977301,58.38383838
2020-01-31 18:00,sfc_warm_front,226.9861286,62.42424242
2020-01-31 18:00,sfc_warm_front,261.2862547,66.46464646
2020-01-31 18:00,sfc_warm_front,295.5863808,66.46464646
2020-01-31 18:00,sfc_warm_front,331.9041614,62.42424242
2020-01-31 18:00,sfc_warm_front,364.186633,54.34343434
2020-01-31 18:00,sfc_warm_front,400.5044136,42.22222222
2020-01-31 18:00,sfc_warm_front,432.7868852,22.12121212
2020-01-31 18:00,sfc_warm_front,467.0870113,7.97979798
2020-01-31 18:00,sfc_warm_front,495.334174,-16.16161616
2020-01-31 18:00,sfc_warm_front,525.5989912,-34.34343434
2020-01-31 18:00,sfc_warm_front,557.8814628,-54.54545455
2020-01-31 18:00,sfc_warm_front,592.1815889,-78.78787879
2020-01-31 18:00,sfc_warm_front,626.481715,-101.010101
2020-01-31 18:00,sfc_warm_front,662.7994956,-125.2525253
2020-01-31 18:00,sfc_warm_front,697.0996217,-151.5151515
2020-01-31 18:00,sfc_warm_front,735.4350567,-179.7979798
2020-01-31 18:00,sfc_warm_front,769.7351828,-210.1010101
2020-01-31 18:00,sfc_warm_front,797.9823455,-240.4040404
2020-02-01 00:00,sfc_warm_front,73.12414734,27
2020-02-01 00:00,sfc_warm_front,97.13506139,47
2020-02-01 00:00,sfc_warm_front,121.1459754,61.20218579
2020-02-01 00:00,sfc_warm_front,149.5225102,83.06010929
2020-02-01 00:00,sfc_warm_front,177.899045,102.7322404
2020-02-01 00:00,sfc_warm_front,210.6412005,122.4043716
2020-02-01 00:00,sfc_warm_front,247.7489768,137.704918
2020-02-01 00:00,sfc_warm_front,284.8567531,140.8196721
2020-02-01 00:00,sfc_warm_front,332.8785812,151.7486339
2020-02-01 00:00,sfc_warm_front,387.4488404,151.7486339
2020-02-01 00:00,sfc_warm_front,433.2878581,145.1912568
2020-02-01 00:00,sfc_warm_front,476.9440655,129.8907104
2020-02-01 00:00,sfc_warm_front,509.686221,110.2185792
2020-02-01 00:00,sfc_warm_front,546.7939973,86.17486339
2020-02-01 00:00,sfc_warm_front,581.7189632,57.75956284
2020-02-01 00:00,sfc_warm_front,623.1923602,18.41530055
2020-02-01 00:00,sfc_warm_front,662.4829468,-25.30054645
2020-02-01 00:00,sfc_warm_front,710.5047749,-73.38797814
2020-02-01 00:00,sfc_warm_front,754.1609823,-112.7322404
2020-02-01 00:00,sfc_warm_front,802.1828104,-169.5628415
2020-02-01 06:00,sfc_warm_front,20,30
2020-02-01 06:00,sfc_warm_front,41.37931034,52.41038319
2020-02-01 06:00,sfc_warm_front,53.20197044,97.8986403
2020-02-01 06:00,sfc_warm_front,86.69950739,145.3646477
2020-02-01 06:00,sfc_warm_front,122.1674877,177.0086527
2020-02-01 06:00,sfc_warm_front,161.5763547,198.7639061
2020-02-01 06:00,sfc_warm_front,206.8965517,220.5191595
2020-02-01 06:00,sfc_warm_front,262.0689655,236.3411619
2020-02-01 06:00,sfc_warm_front,323.1527094,234.3634116
2020-02-01 06:00,sfc_warm_front,368.4729064,224.4746601
2020-02-01 06:00,sfc_warm_front,415.7635468,212.6081582
2020-02-01 06:00,sfc_warm_front,457.1428571,196.7861557
2020-02-01 06:00,sfc_warm_front,506.4039409,173.053152
2020-02-01 06:00,sfc_warm_front,553.6945813,145.3646477
2020-02-01 06:00,sfc_warm_front,599.0147783,109.7651422
2020-02-01 06:00,sfc_warm_front,638.4236453,76.1433869
2020-02-01 06:00,sfc_warm_front,673.8916256,40.54388133
2020-02-01 06:00,sfc_warm_front,709.3596059,-0.988875155
2020-02-01 06:00,sfc_warm_front,742.8571429,-38.56613103
2020-02-01 06:00,sfc_warm_front,774.3842365,-74.16563659
2020-02-01 06:00,sfc_warm_front,803.9408867,-105.8096415
2020-02-01 12:00,sfc_warm_front,20.97378277,74.18546366
2020-02-01 12:00,sfc_warm_front,10.98626717,108.2706767
2020-02-01 12:00,sfc_warm_front,12.98377029,148.3709273
2020-02-01 12:00,sfc_warm_front,20.97378277,188.4711779
2020-02-01 12:00,sfc_warm_front,38.95131086,230.5764411
2020-02-01 12:00,sfc_warm_front,60.92384519,260.6516291
2020-02-01 12:00,sfc_warm_front,90.88639201,288.7218045
2020-02-01 12:00,sfc_warm_front,122.8464419,312.7819549
2020-02-01 12:00,sfc_warm_front,164.7940075,326.8170426
2020-02-01 12:00,sfc_warm_front,212.7340824,332.8320802
2020-02-01 12:00,sfc_warm_front,268.6641698,338.8471178
2020-02-01 12:00,sfc_warm_front,326.5917603,336.8421053
2020-02-01 12:00,sfc_warm_front,374.5318352,326.8170426
2020-02-01 12:00,sfc_warm_front,422.4719101,310.7769424
2020-02-01 12:00,sfc_warm_front,462.4219725,294.7368421
2020-02-01 12:00,sfc_warm_front,506.3670412,274.6867168
2020-02-01 12:00,sfc_warm_front,552.309613,248.6215539
2020-02-01 12:00,sfc_warm_front,592.2596754,226.566416
2020-02-01 12:00,sfc_warm_front,636.2047441,200.5012531
2020-02-01 12:00,sfc_warm_front,678.1523096,174.4360902
2020-02-01 12:00,sfc_warm_front,718.102372,146.3659148
2020-02-01 12:00,sfc_warm_front,758.0524345,120.3007519
2020-02-01 12:00,sfc_warm_front,800,94.23558897
2020-01-31 18:00,ele_cold_front,10,-20
2020-01-31 18:00,ele_cold_front,18,-30
2020-01-31 18:00,ele_cold_front,25,-52.52525253
2020-01-31 18:00,ele_cold_front,25,-98.98989899
2020-01-31 18:00,ele_cold_front,29.25598991,-147.4747475
2020-01-31 18:00,ele_cold_front,29.25598991,-197.979798
2020-01-31 18:00,ele_cold_front,25.22068096,-236.3636364
2020-01-31 18:00,ele_cold_front,13.1147541,-268.6868687
2020-01-31 18:00,ele_cold_front,-1.008827238,-294.9494949
2020-01-31 18:00,ele_cold_front,-25.22068096,-319.1919192
2020-01-31 18:00,ele_cold_front,-49.43253468,-339.3939394
2020-01-31 18:00,ele_cold_front,-73.6443884,-351.5151515
2020-01-31 18:00,ele_cold_front,-99.8738966,-363.6363636
2020-01-31 18:00,ele_cold_front,-130.1387137,-371.7171717
2020-01-31 18:00,ele_cold_front,-174.5271122,-385.8585859
2020-01-31 18:00,ele_cold_front,-204.7919294,-391.9191919
2020-01-31 18:00,ele_cold_front,-243.1273644,-395.959596
2020-01-31 18:00,ele_cold_front,-283.480454,-400
2020-01-31 18:00,ele_cold_front,-321.815889,-400
2020-01-31 18:00,ele_cold_front,-356.1160151,-400
2020-01-31 18:00,ele_cold_front,-392.4337957,-395.959596
2020-01-31 18:00,ele_cold_front,-428.7515763,-387.8787879
2020-01-31 18:00,ele_cold_front,-465.0693569,-379.7979798
2020-01-31 18:00,ele_cold_front,-495.334174,-373.7373737
2020-01-31 18:00,ele_cold_front,-527.6166456,-363.6363636
2020-01-31 18:00,ele_cold_front,-565.9520807,-353.5353535
2020-01-31 18:00,ele_cold_front,-606.3051702,-343.4343434
2020-01-31 18:00,ele_cold_front,-648.6759142,-331.3131313
2020-01-31 18:00,ele_cold_front,-682.9760404,-323.2323232
2020-01-31 18:00,ele_cold_front,-717.2761665,-313.1313131
2020-01-31 18:00,ele_cold_front,-747.5409836,-303.030303
2020-01-31 18:00,ele_cold_front,-777.8058008,-288.8888889
2020-02-01 00:00,ele_cold_front,25,-10
2020-02-01 00:00,ele_cold_front,30,-20
2020-02-01 00:00,ele_cold_front,35,-30
2020-02-01 00:00,ele_cold_front,40.64436183,-45.65756824
2020-02-01 00:00,ele_cold_front,88.22800496,-87.34491315
2020-02-01 00:00,ele_cold_front,115.9851301,-113.1513648
2020-02-01 00:00,ele_cold_front,137.7942999,-148.8833747
2020-02-01 00:00,ele_cold_front,157.6208178,-190.5707196
2020-02-01 00:00,ele_cold_front,167.5340768,-248.1389578
2020-02-01 00:00,ele_cold_front,167.5340768,-281.8858561
2020-02-01 00:00,ele_cold_front,161.5861214,-309.6774194
2020-02-01 00:00,ele_cold_front,150,-355.3349876
2020-02-01 00:00,ele_cold_front,131.8463445,-381.1414392
2020-02-01 00:00,ele_cold_front,110,-406.9478908
2020-02-01 00:00,ele_cold_front,84.26270136,-436.7245658
2020-02-01 00:00,ele_cold_front,60.4708798,-455
2020-02-01 00:00,ele_cold_front,34.69640644,-468.4863524
2020-02-01 00:00,ele_cold_front,6.939281289,-486.3523573
2020-02-01 00:00,ele_cold_front,-32.71375465,-502.2332506
2020-02-01 00:00,ele_cold_front,-64.4361834,-516.1290323
2020-02-01 00:00,ele_cold_front,-104.0892193,-528.0397022
2020-02-01 00:00,ele_cold_front,-135.8116481,-532.0099256
2020-02-01 00:00,ele_cold_front,-173.4820322,-535.9801489
2020-02-01 00:00,ele_cold_front,-213.1350682,-535.9801489
2020-02-01 00:00,ele_cold_front,-254.7707559,-532.0099256
2020-02-01 00:00,ele_cold_front,-300.3717472,-524.0694789
2020-02-01 00:00,ele_cold_front,-353.9033457,-512.1588089
2020-02-01 00:00,ele_cold_front,-395.5390335,-500
2020-02-01 00:00,ele_cold_front,-441.1400248,-494.292804
2020-02-01 00:00,ele_cold_front,-488.7236679,-478.4119107
2020-02-01 00:00,ele_cold_front,-536.307311,-466.5012407
2020-02-01 00:00,ele_cold_front,-583.8909542,-452.6054591
2020-02-01 00:00,ele_cold_front,-627.5092937,-440.6947891
2020-02-01 00:00,ele_cold_front,-665.1796778,-428.7841191
2020-02-01 00:00,ele_cold_front,-710.7806691,-412.9032258
2020-02-01 00:00,ele_cold_front,-756.3816605,-395.0372208
2020-02-01 00:00,ele_cold_front,-786.1214374,-387.0967742
