datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude,x,y,u,v,speed
2020-01-26 03:00:00,195784.34478,181684.19969,10.0,87.86074,87.53472,195784.34478393503,181684.1996932865,-0.06874800202733038,0.030928951884420207,0.07538493116942273
2020-01-26 04:00:00,195518.00584,181792.57838,10.0,87.91667,87.53584,195518.0058392418,181792.57837562103,-0.07519309308839486,0.027819059033774667,0.08017419343981363
2020-01-26 05:00:00,195242.95451,181884.49692,10.0,87.97134,87.53712,195242.95451369858,181884.49691832968,-0.07764134885412609,0.025927619371832408,0.0818560962798662
2020-01-26 06:00:00,194958.8642,181979.14802,10.5,88.02782,87.53844,194958.9881274921,181979.25723509822,-0.08413119077216834,0.01976493082483406,0.08642169722502249
2020-01-26 07:00:00,194637.20994,182026.80442,10.0,88.0825,87.54031,194637.20994013897,182026.80442026848,-0.09713880576337235,0.02099295412470383,0.09938134486922634
2020-01-26 08:00:00,194259.58873,182130.4065,10.0,88.15428,87.5422,194259.58872599583,182130.4065047961,-0.11490704206424804,0.0432957032076835,0.12279310335765069
2020-01-26 09:00:00,193809.87924,182338.53348,10.0,88.2532,87.54391,193809.8792372764,182338.5334833638,-0.12598518869608394,0.061631591718881586,0.14025234710546128
2020-01-26 10:00:00,193352.49537,182574.15397,10.0,88.3577,87.54549,193352.49536738402,182574.15396517204,-0.12700993485690965,0.06522790133008029,0.14278026006518943
2020-01-26 11:00:00,192895.40771,182808.17437,10.0,88.46204,87.54707,192895.40770630664,182808.17437294038,-0.12703798325363702,0.06490058967464493,0.1426560048833136
2020-01-26 12:00:00,192437.82189,183041.43821,10.0,88.56647,87.54865,192437.82188795783,183041.43821082948,-0.12566066252703118,0.06920603827107698,0.1434575820230851
2020-01-26 13:00:00,191990.65094,183306.45785,10.0,88.67444,87.54995,191990.650936112,183306.45784849214,-0.128184816924978,0.07474200433888553,0.14838367330230137
2020-01-26 14:00:00,191514.89121,183579.58064,10.0,88.78806,87.55138,191514.891206098,183579.58064206946,-0.1369148769927051,0.0782154512323824,0.15768113505874048
2020-01-26 15:00:00,191004.86382,183869.6091,10.0,88.90958,87.55292,191004.86382176453,183869.6090973653,-0.14595337611825218,0.0810694270684366,0.1669570004687451
2020-01-26 16:00:00,190464.0269,184163.28052,10.0,89.03645,87.55463,190464.02689804658,184163.2805169622,-0.15352366526493116,0.08211213270885007,0.17410318243609
2020-01-26 17:00:00,189899.49343,184460.81645,10.0,89.16767,87.55646,189899.49343185703,184460.816452869,-0.1576763849639125,0.08282416250686463,0.17810582323509655
2020-01-26 18:00:00,189328.75693,184759.61449,10.0,89.30022,87.55831,189328.7569263064,184759.61448701163,-0.15507020967698432,0.08283610973227445,0.17580839287372288
2020-01-26 19:00:00,188782.98792,185057.23644,10.0,89.429,87.55999,188782.98792218274,185057.2364429414,-0.1520292270858368,0.0798379585390689,0.1717177495543283
2020-01-26 20:00:00,188234.14649,185334.44779,10.0,89.55527,87.56181,188234.14649128838,185334.44778849292,-0.15036674535776304,0.06864209964111878,0.16529336330484545
2020-01-26 21:00:00,187700.34736,185551.45956,10.0,89.67014,87.56391,187700.34735560685,185551.45956035744,-0.14480632470003102,0.05785590489316948,0.15593645309592716
2020-01-26 22:00:00,187191.54095,185751.0103,10.0,89.77869,87.56595,187191.54095344816,185751.01030372374,-0.1385054745784752,0.04707004057241041,0.14628518451195596
2020-01-26 23:00:00,186703.10794,185890.36385,10.0,89.87502,87.56824,186703.10793864183,185890.3638524788,-0.13444117843860617,0.036261850667675996,0.13924565441623657
2020-01-27 00:00:00,186223.56447,186012.09563,10.0,89.96745,87.57058,186223.5644686902,186012.095628531,-0.12759402850739004,0.031480713415650015,0.13142020935877005
2020-01-27 01:00:00,185784.43093,186117.02499,10.0,90.05124,87.57276,185784.43093338862,186117.02498907148,-0.11661163800486975,0.030487607457443017,0.12053119233898717
